GPSALT IGRF LAT LONG Line MAGIGRF X Y
568.88 23516.292 -16.173828 -51.221691 22750 -117.942 8211817.78 476301.42
569.55 23516.301 -16.173753 -51.221696 22750 -117.389 8211826.08 476300.82
570.23 23516.311 -16.173678 -51.221699 22750 -116.914 8211834.37 476300.51
570.9 23516.321 -16.173603 -51.221702 22750 -116.502 8211842.67 476300.21
571.58 23516.331 -16.173528 -51.221705 22750 -116.144 8211850.96 476299.9
572.25 23516.34 -16.173453 -51.221708 22750 -115.827 8211859.26 476299.59
573.02 23516.35 -16.173381 -51.22171 22750 -115.54 8211867.25 476299.29
573.79 23516.359 -16.173306 -51.22171 22750 -115.268 8211875.55 476299.28
574.56 23516.369 -16.173233 -51.221713 22750 -114.977 8211883.53 476298.97
575.33 23516.379 -16.173158 -51.221713 22750 -114.674 8211891.83 476298.97
576.1 23516.388 -16.173083 -51.221713 22750 -114.358 8211900.13 476298.96
576.87 23516.398 -16.173011 -51.221716 22750 -114.023 8211908.12 476298.65
577.64 23516.408 -16.172936 -51.221716 22750 -113.646 8211916.41 476298.64
578.41 23516.417 -16.172864 -51.221719 22750 -113.224 8211924.4 476298.34
579.18 23516.427 -16.172789 -51.221719 22750 -112.728 8211932.7 476298.33
579.95 23516.436 -16.172717 -51.221721 22750 -112.166 8211940.69 476298.02
580.74 23516.446 -16.172642 -51.221721 22750 -111.527 8211948.98 476298.01
581.54 23516.455 -16.172569 -51.221721 22750 -110.812 8211956.97 476298.0
582.33 23516.465 -16.172497 -51.221721 22750 -110.011 8211964.96 476298.0
583.13 23516.475 -16.172422 -51.221721 22750 -109.118 8211973.26 476297.99
583.92 23516.484 -16.17235 -51.221721 22750 -108.137 8211981.24 476297.98
584.71 23516.493 -16.172278 -51.221721 22750 -107.071 8211989.23 476297.97
585.51 23516.503 -16.172206 -51.221721 22750 -105.922 8211997.22 476297.96
586.3 23516.512 -16.172133 -51.221721 22750 -104.677 8212005.21 476297.95
587.1 23516.522 -16.172058 -51.221721 22750 -103.343 8212013.51 476297.94
587.89 23516.532 -16.171986 -51.221721 22750 -101.942 8212021.5 476297.93
588.7 23516.541 -16.171914 -51.221721 22750 -100.474 8212029.49 476297.93
589.51 23516.55 -16.171842 -51.221721 22750 -98.94 8212037.47 476297.92
590.33 23516.56 -16.171769 -51.221721 22750 -97.355 8212045.46 476297.91
591.14 23516.569 -16.171697 -51.221721 22750 -95.716 8212053.45 476297.9
591.95 23516.578 -16.171628 -51.221721 22750 -94.03 8212061.13 476297.89
592.76 23516.588 -16.171556 -51.221721 22750 -92.297 8212069.12 476297.88
593.57 23516.597 -16.171483 -51.221721 22750 -90.527 8212077.11 476297.87
594.39 23516.607 -16.171411 -51.221721 22750 -88.718 8212085.1 476297.87
