LINE,X,Y,GPSALT,RAD,MAGLEV,syn_dem,MAG_REGIONAL,mag_res,ellip_pipe_magmod,ellipsoid_magmod
     L22750,476291.145277,8212522.350428,638.241244,130.300840,23606.454443,507.940403,23742.758483,-110.798417,-215.868659,-144.771437
     L22750,476291.669020,8212502.352404,636.926862,130.864203,23595.976252,506.062659,23741.203771,-120.450145,-225.958609,-157.336526
     L22750,476292.093433,8212482.353999,635.579633,131.347529,23585.567116,504.232105,23739.644734,-130.026521,-235.893525,-169.868252
     L22750,476292.698281,8212462.356386,633.801283,131.004014,23575.527017,502.797268,23738.089951,-139.241693,-245.860481,-182.472481
     L22750,476293.016562,8212442.357572,632.022488,130.683495,23565.639110,501.338993,23736.524985,-148.288804,-255.592744,-194.998216
     L22750,476293.434465,8212422.359207,630.247969,130.352661,23556.057207,499.895308,23734.961768,-157.033637,-265.303930,-207.432387
     L22750,476293.959852,8212402.361334,628.366358,130.061911,23546.780352,498.304447,23733.400630,-165.477631,-274.528278,-219.801421
     L22750,476294.269690,8212382.362523,626.340795,129.823990,23537.870871,496.516805,23731.831310,-173.541793,-283.694541,-232.074747
     L22750,476294.596948,8212362.363799,624.342290,129.578512,23529.286520,494.763778,23730.261158,-181.280340,-292.598113,-244.192622
     L22750,476294.905603,8212342.364999,622.291565,129.338514,23520.610876,492.953051,23728.689016,-189.107820,-301.248054,-256.161109
     L22750,476295.406225,8212322.367099,620.164267,128.916674,23512.286993,491.247593,23727.121787,-196.592257,-309.703538,-268.008095
     L22750,476295.561908,8212302.367606,617.941265,128.355604,23504.105561,489.585661,23725.541840,-203.914688,-317.797192,-279.633767
     L22750,476296.119514,8212282.370009,615.728405,127.801542,23496.190651,487.926863,23723.973840,-210.990509,-325.734315,-291.118203
     L22750,476296.252140,8212262.370413,613.505406,127.174962,23488.639844,486.330444,23722.390271,-217.678235,-333.149787,-302.283861
     L22750,476296.801332,8212242.372814,611.282064,128.506295,23481.554656,482.775769,23720.819352,-223.921247,-340.406752,-313.297003
     L22750,476296.826774,8212222.372704,609.088588,130.387710,23475.089922,478.700878,23719.229248,-229.514243,-347.112967,-323.897624
     L22750,476297.145319,8212202.374010,606.861580,132.287788,23468.989659,474.573792,23717.647704,-234.757134,-353.586278,-334.304026
     L22750,476297.383013,8212182.374931,604.663160,134.169420,23463.354875,470.493740,23716.061961,-239.528745,-359.652149,-344.375634
     L22750,476297.485464,8212162.375192,602.520715,137.992241,23458.086978,464.528474,23714.470046,-243.924619,-365.267123,-354.063409
     L22750,476297.507064,8212142.375060,600.430333,142.031194,23453.165341,458.399139,23712.873770,-247.968269,-370.447146,-363.366617
     L22750,476297.528664,8212122.374928,598.297018,146.150442,23448.307856,452.146576,23711.275942,-251.946217,-375.262116,-372.341239
     L22750,476297.847209,8212102.376243,596.145262,150.402010,23443.649656,445.743253,23709.687211,-255.739857,-379.830088,-381.075358
     L22750,476297.868809,8212082.376110,594.110978,152.281730,23439.308235,441.829248,23708.086362,-259.198719,-383.833904,-389.278942
     L22750,476297.890410,8212062.375978,592.075871,154.116561,23435.178182,437.959310,23706.483963,-262.444662,-387.452421,-397.103343
     L22750,476297.912011,8212042.375847,590.012473,155.976577,23431.258038,434.035897,23704.880012,-265.479146,-390.698192,-404.553560
     L22750,476297.933613,8212022.375717,587.979107,157.809695,23427.739138,430.169412,23703.274510,-268.110834,-393.550142,-411.594575
     L22750,476297.955214,8212002.375587,586.021073,157.819350,23424.686982,428.201723,23701.667457,-270.274227,-395.994743,-418.198196
