ALTURA GPSALT IGRF mag_res1 mag_res2 LAT LONG Line MAGIGRF X Y
212.06 1109.3 22766.425 68.47192317446682 71.25990470391562 -27.801572 -49.128694 12190 21.089 6923374.0 684346.0
253.5 1113.17 22766.436 68.09815138341324 70.79008353090734 -27.802686 -49.128678 12190 20.663 6923250.0 684346.0
237.44 1116.29 22766.448 68.87776255560739 71.4753665703295 -27.803794 -49.128653 12190 21.392 6923128.0 684347.0
201.35 1118.9 22766.459 66.15656956932034 68.65889879387777 -27.8049 -49.128625 12190 18.619 6923005.0 684347.0
167.82 1124.42 22766.47 63.84953419256639 66.25813781053904 -27.805994 -49.128606 12190 16.261 6922884.0 684347.0
134.82 1135.16 22766.481 59.37407762057908 61.68973022375679 -27.807075 -49.128592 12190 11.735 6922764.0 684347.0
99.63 1148.26 22766.491 47.65890675546238 49.88358798800951 -27.808133 -49.128592 12190 -0.031 6922647.0 684345.0
149.95 1156.88 22766.5 39.164735890345675 41.298445752262175 -27.809183 -49.128594 12190 -8.576 6922530.0 684343.0
191.78 1157.08 22766.509 34.68891847628098 36.73225949375395 -27.810233 -49.128608 12190 -13.103 6922414.0 684340.0
239.7 1150.47 22766.518 29.700522257449755 31.652719838689265 -27.811292 -49.128619 12190 -18.143 6922297.0 684337.0
274.73 1139.99 22766.528 25.738193782799968 27.59787080982892 -27.812367 -49.128622 12190 -22.157 6922178.0 684335.0
306.12 1127.16 22766.538 21.65070769861709 23.4163149878555 -27.813458 -49.128622 12190 -26.297 6922057.0 684333.0
334.21 1113.72 22766.548 16.08271055384898 17.75209639552988 -27.814575 -49.128614 12190 -31.918000000000006 6921933.0 684332.0
365.33 1100.92 22766.559 10.436555799547683 12.008171010091194 -27.815711 -49.128608 12190 -37.618 6921807.0 684331.0
384.19 1090.9 22766.57 5.275018081998893 6.747141412222157 -27.816867 -49.12860300000001 12190 -42.835 6921679.0 684329.0
381.45 1082.51 22766.581 -1.562873086602039 -0.190844162886016 -27.818033000000003 -49.1286 12190 -49.728 6921550.0 684328.0
356.86 1075.51 22766.593 -9.861343059969514 -8.590183134550777 -27.819208000000003 -49.128586 12190 -58.082 6921420.0 684327.0
333.94 1069.16 22766.604 -20.02439183810353 -18.854875502772018 -27.820383000000003 -49.128572 12190 -68.301 6921289.0 684326.0
302.67 1062.87 22766.616 -30.574636457756487 -29.50581705511938 -27.821561 -49.128553 12190 -78.906 6921159.0 684326.0
270.98 1056.5 22766.628 -40.704459882175975 -39.73711200402328 -27.822736 -49.128533 12190 -89.09100000000002 6921028.0 684326.0
288.04 1049.54 22766.641 -50.68347914811441 -49.81665613705333 -27.823911 -49.128503 12190 -99.124 6920898.0 684327.0
