ALTURA GPSALT LAT LONG Line MAGIGRF X Y
106.44 478.08 -16.137681 -51.235585 22720 301.489 8215814.61 474811.54
106.62 478.31 -16.137756 -51.235588 22720 301.005 8215806.32 474811.25
106.8 478.55 -16.137831 -51.235591 22720 300.675 8215798.02 474810.96
106.98 478.78 -16.137909 -51.235594 22720 300.473 8215789.41 474810.67
107.17 479.01 -16.137984 -51.235596 22720 300.381 8215781.12 474810.39
107.35 479.25 -16.138059 -51.235599 22720 300.369 8215772.82 474810.1
107.53 479.48 -16.138134 -51.235602 22720 300.407 8215764.53 474809.81
107.72 479.72 -16.138209 -51.235605 22720 300.484 8215756.23 474809.52
107.9 479.95 -16.138284 -51.235608 22720 300.588 8215747.93 474809.24
107.9 480.15 -16.138361 -51.23561 22720 300.719 8215739.33 474808.95
107.9 480.36 -16.138436 -51.235616 22720 300.864 8215731.03 474808.37
107.9 480.56 -16.138511 -51.235619 22720 301.014 8215722.73 474808.08
107.9 480.77 -16.138586 -51.235624 22720 301.16 8215714.44 474807.49
107.9 480.97 -16.138664 -51.235627 22720 301.292 8215705.83 474807.21
107.9 481.17 -16.138739 -51.23563 22720 301.415 8215697.54 474806.92
107.9 481.38 -16.138814 -51.235635 22720 301.53 8215689.24 474806.33
107.9 481.58 -16.138889 -51.235638 22720 301.646 8215680.94 474806.05
107.9 481.79 -16.138964 -51.235641 22720 301.765 8215672.65 474805.76
107.9 481.99 -16.139039 -51.235646 22720 301.896 8215664.35 474805.17
107.75 482.1 -16.139114 -51.235652 22720 302.043 8215656.05 474804.59
107.6 482.2 -16.139192 -51.235655 22720 302.217 8215647.45 474804.3
107.44 482.31 -16.139267 -51.23566 22720 302.429 8215639.15 474803.72
107.29 482.41 -16.139342 -51.235666 22720 302.676 8215630.86 474803.13
107.14 482.52 -16.139417 -51.235669 22720 302.962 8215622.56 474802.85
