ALTURA GPSALT LAT LONG Line MAGIGRF X Y
146.61 605.44 -16.15705 -51.221974 22750 646.784 8213673.65 476269.13
142.34 601.43 -16.155953 -51.221935 22750 651.374 8213795.03 476273.15
140.37 596.91 -16.154847 -51.221891 22750 639.222 8213917.32 476277.77
138.38 592.87 -16.153733 -51.221841 22750 634.915 8214040.54 476282.99
148.74 590.22 -16.152614 -51.221797 22750 641.991 8214164.38 476287.6
157.89 589.75 -16.151492 -51.221763 22750 624.055 8214288.52 476291.03
173.59 589.79 -16.150372 -51.221741 22750 595.672 8214412.35 476293.28
176.63 587.42 -16.149253 -51.221722 22750 556.859 8214536.18 476295.22
172.6 582.64 -16.148131 -51.221702 22750 510.965 8214660.32 476297.17
166.58 580.46 -16.147 -51.221697 22750 448.47 8214785.38 476297.62
168.57 577.62 -16.145864 -51.221691 22750 364.986 8214911.05 476298.08
166.58 573.35 -16.144725 -51.221683 22750 288.75 8215037.03 476298.84
156.37 568.62 -16.143581 -51.221669 22750 300.311 8215163.63 476300.19
153.31 564.82 -16.142431 -51.221649 22750 429.84 8215290.84 476302.13
147.06 559.36 -16.141275 -51.221627 22750 591.554 8215418.67 476304.37
128.02 553.32 -16.140114 -51.22161 22750 811.57 8215547.11 476306.01
133.51 547.69 -16.138947 -51.221602 22750 909.157 8215676.16 476306.76
136.55 544.03 -16.137772 -51.221602 22750 850.053 8215806.13 476306.62
143.41 545.06 -16.136597 -51.221608 22750 738.511 8215936.11 476305.89
147.22 547.22 -16.135431 -51.221608 22750 643.603 8216065.16 476305.75
143.25 550.32 -16.134275 -51.221597 22750 570.818 8216192.98 476306.8
131.67 553.25 -16.133125 -51.221572 22750 507.722 8216320.2 476309.34
107.9 549.58 -16.131981 -51.221544 22750 462.48 8216446.79 476312.17
108.81 542.5 -16.130828 -51.221519 22750 461.259 8216574.31 476314.7
124.06 534.79 -16.129667 -51.221499 22750 477.119 8216702.75 476316.65
131.98 525.96 -16.128495 -51.221499 22750 472.708 8216832.42 476316.51
124.66 515.96 -16.127314 -51.221527 22750 445.427 8216963.0 476313.4
116.13 507.3 -16.126122 -51.221574 22750 433.988 8217094.82 476308.2
116.59 501.49 -16.124925 -51.221635 22750 425.22 8217227.24 476301.53
117.96 499.67 -16.123725 -51.221699 22750 411.541 8217359.97 476294.55
115.52 498.19 -16.122522 -51.221749 22750 382.774 8217493.02 476289.06
111.25 494.29 -16.121322 -51.221799 22750 363.426 8217625.75 476283.57
111.71 492.58 -16.12012 -51.221852 22750 357.96 8217758.79 476277.79
114.18 484.37 -16.120947 -51.216766 22760 354.6 8217667.8 476821.73
110.61 489.35 -16.121995 -51.216738 22760 347.132 8217551.97 476824.82
112.9 495.17 -16.123034 -51.216716 22760 355.625 8217437.05 476827.32
112.17 503.19 -16.124064 -51.216699 22760 378.986 8217323.06 476829.22
112.23 512.79 -16.125078 -51.216702 22760 391.56 8217210.9 476829.04
112.78 524.63 -16.126078 -51.216713 22760 409.876 8217100.29 476827.97
109.79 535.64 -16.127064 -51.21673 22760 434.28 8216991.2 476826.3
111.62 544.24 -16.128039 -51.216747 22760 452.301 8216883.35 476824.64
105.46 552.45 -16.129 -51.216766 22760 469.958 8216777.04 476822.67
103.45 559.75 -16.129956 -51.216783 22760 478.915 8216671.33 476821.0
103.14 565.67 -16.130906 -51.216797 22760 486.699 8216566.25 476819.62
105.43 571.88 -16.13185 -51.21681 22760 501.203 8216461.77 476818.25
102.41 577.72 -16.132792 -51.216835 22760 521.764 8216357.61 476815.68
102.78 583.18 -16.133728 -51.216863 22760 553.903 8216254.05 476812.82
114.42 587.09 -16.134661 -51.216902 22760 600.611 8216150.81 476808.77
123.57 589.99 -16.135595 -51.216949 22760 649.97 8216047.56 476803.83
136.18 591.1 -16.136533 -51.217002 22760 699.237 8215943.7 476798.3
149.54 587.91 -16.137481 -51.217052 22760 760.593 8215838.92 476793.07
152.64 583.65 -16.138439 -51.217077 22760 797.661 8215732.9 476790.5
156.3 577.9 -16.139414 -51.21708 22760 765.314 8215625.05 476790.32
154.9 572.45 -16.140403 -51.217047 22760 674.742 8215515.67 476794.0
151.88 568.59 -16.141403 -51.216991 22760 534.936 8215405.06 476800.06
148.93 567.15 -16.142411 -51.216913 22760 398.079 8215293.53 476808.49
141.98 568.23 -16.143422 -51.216827 22760 296.489 8215181.69 476817.82
139.78 571.12 -16.144439 -51.216741 22760 317.81 8215069.24 476827.14
131.91 570.55 -16.145458 -51.216663 22760 401.282 8214956.49 476835.57
119.97 568.57 -16.146483 -51.216599 22760 534.307 8214843.11 476842.52
120.34 567.63 -16.14752 -51.216566 22760 645.458 8214728.5 476846.21
123.75 567.59 -16.148561 -51.216566 22760 729.436 8214613.28 476846.33
116.25 567.82 -16.149603 -51.216591 22760 797.964 8214498.05 476843.78
96.92 568.31 -16.150642 -51.21663 22760 848.383 8214383.13 476839.74
92.35 571.65 -16.151678 -51.216697 22760 895.089 8214268.51 476832.74
95.22 574.84 -16.152706 -51.216783 22760 915.887 8214154.81 476823.65
105.92 575.71 -16.153731 -51.216872 22760 945.054 8214041.42 476814.27
136.43 575.09 -16.154756 -51.216955 22760 982.186 8213928.03 476805.48
147.77 574.85 -16.155781 -51.217016 22760 1013.355 8213814.64 476799.06
145.51 572.88 -16.156817 -51.217055 22760 1033.873 8213700.02 476795.03
144.14 569.45 -16.157858 -51.21708 22760 1055.389 8213584.79 476792.48
150.45 568.01 -16.158906 -51.21708 22760 1065.881 8213468.95 476792.6
155.94 572.38 -16.159947 -51.217052 22760 1061.945 8213353.73 476795.69
149.66 581.92 -16.160969 -51.21701 22760 1025.489 8213240.66 476800.26
137.13 593.77 -16.161975 -51.216969 22760 958.632 8213129.44 476804.84
100.77 605.82 -16.162964 -51.216941 22760 853.174 8213020.05 476807.92
76.17 615.74 -16.163939 -51.216927 22760 702.49 8212912.2 476809.52
95.53 622.59 -16.164906 -51.216919 22760 566.669 8212805.27 476810.52
116.83 626.22 -16.165869 -51.216913 22760 450.582 8212698.65 476811.23
122.71 625.73 -16.166836 -51.216922 22760 316.821 8212591.72 476810.45
111.74 620.4 -16.167814 -51.216941 22760 165.078 8212483.56 476808.49
108.75 610.91 -16.168808 -51.216969 22760 7.954 8212373.56 476805.63
117.53 600.13 -16.169825 -51.217005 22760 -137.802 8212261.09 476801.89
124.78 589.79 -16.170861 -51.217047 22760 -264.929 8212146.47 476797.56
129.54 579.57 -16.171919 -51.217085 22760 -354.074 8212029.4 476793.53
139.11 569.84 -16.172997 -51.217113 22760 -400.645 8211910.18 476790.68
146.89 559.53 -16.174092 -51.217141 22760 -417.285 8211789.11 476787.84
144.23 547.92 -16.1752 -51.217158 22760 -424.47 8211666.51 476786.19
141.03 538.28 -16.176319 -51.21716 22760 -431.321 8211542.68 476786.02
130.7 531.03 -16.17745 -51.217146 22760 -404.138 8211417.62 476787.64
121.28 525.05 -16.178583 -51.217124 22760 -362.376 8211292.26 476790.15
116.19 519.47 -16.179725 -51.217102 22760 -337.068 8211165.97 476792.66
117.66 516.28 -16.180867 -51.217077 22760 -308.678 8211039.69 476795.46
121.19 516.78 -16.182005 -51.217058 22760 -256.586 8210913.71 476797.68
