 ALTURA GPSALT IGRF mag_res1 LAT LONG Line MAGIGRF X Y
148 320.38 680.65 22764.372000000003 2.3480046146771727 -27.953533 -49.196740999999996 12050 -57.471000000000004 6906636.0 677393.0
149 284.29 675.66 22764.386000000002 5.8537982270096265 -27.954736999999998 -49.196737 12050 -54.022 6906503.0 677392.0
150 225.51 672.4 22764.397 6.625465070769572 -27.955938 -49.196778 12050 -53.31100000000001 6906370.0 677386.0
151 203.81 671.32 22764.407000000003 6.654681207100396 -27.957134000000003 -49.196838 12050 -53.343999999999994 6906237.0 677378.0
152 194.94 671.56 22764.416 7.77782959924987 -27.958321 -49.196914 12050 -52.283 6906106.0 677369.0
153 193.85 674.48 22764.425 9.222331442451377 -27.959497 -49.196996999999996 12050 -50.901 6905976.0 677359.0
154 190.74 677.1 22764.433999999997 8.070412090419431 -27.960663 -49.197074 12050 -52.115 6905847.0 677349.0
155 169.19 679.57 22764.444 4.672168799531043 -27.961826000000002 -49.197126000000004 12050 -55.573 6905718.0 677342.0
156 112.02 682.39 22764.456000000002 5.153601569786332 -27.962987 -49.197151 12050 -55.148999999999994 6905589.0 677338.0
157 106.35 684.92 22764.468999999997 5.947063852237072 -27.964147999999998 -49.197151 12050 -54.411 6905461.0 677336.0
158 124.93 686.46 22764.482000000004 7.514172683635813 -27.965309 -49.197142 12050 -52.898999999999994 6905332.0 677335.0
159 107.92 688.25 22764.496 9.831506868749052 -27.96647 -49.197117999999996 12050 -50.636 6905203.0 677335.0
160 88.85 687.65 22764.512000000002 12.539291761291452 -27.967633000000003 -49.197078000000005 12050 -47.981 6905074.0 677337.0
161 92.28 688.09 22764.527000000002 14.83152736126278 -27.968797 -49.197024 12050 -45.74 6904945.0 677341.0
162 122.33 690.2 22764.543999999998 17.48276296123411 -27.969960999999998 -49.19696 12050 -43.14 6904816.0 677345.0
163 133.96 692.15 22764.561 19.04644926863447 -27.971123 -49.196884000000004 12050 -41.626000000000005 6904687.0 677351.0
164 138.85 695.4 22764.578999999998 18.83293973451601 -27.972281 -49.196785999999996 12050 -41.888000000000005 6904559.0 677358.0
165 174.87 700.4 22764.597999999998 18.234880907826486 -27.973433 -49.196678000000006 12050 -42.533 6904431.0 677367.0
166 196.77 702.85 22764.616 17.846400885903606 -27.974582 -49.196573 12050 -42.968 6904304.0 677376.0
167 214.1 702.15 22764.634 17.899891351785037 -27.975731 -49.196476000000004 12050 -42.963 6904176.0 677383.0
168 232.73 701.67 22764.651 18.314509915004088 -27.976879999999998 -49.196404 12050 -42.598 6904049.0 677388.0
169 267.58 701.09 22764.665 19.638422904883875 -27.97803 -49.196387 12050 -41.328 6903921.0 677388.0
170 315.5 700.43 22764.675 21.93833722352869 -27.979179 -49.196446 12050 -39.086999999999996 6903794.0 677381.0
171 346.97 700.02 22764.682 23.746674066171742 -27.980325 -49.196560999999996 12050 -37.343 6903667.0 677367.0
