 index ALTURA GPSALT IGRF mag_res reg LAT LONG Line MAGIGRF X Y
136 3763 133.61 983.06 22766.252 14.01416810417306 -48.275168104173055 -27.812122 -49.133792 12180 -34.260999999999996 6922212.0 683826.0
137 3764 108.98 995.58 22766.244 17.13227393454367 -48.23227393454367 -27.811219 -49.133794 12180 -31.1 6922312.0 683827.0
138 3765 97.22 1009.68 22766.235 20.172026313862272 -48.18902631386227 -27.810331 -49.133796999999994 12180 -28.017 6922411.0 683829.0
139 3766 92.22 1026.72 22766.227000000003 23.34159157145209 -48.14859157145209 -27.809461 -49.133811 12180 -24.807 6922507.0 683829.0
140 3767 92.93 1043.88 22766.217999999997 26.207352670560955 -48.10935267056095 -27.808608000000003 -49.133831 12180 -21.901999999999997 6922602.0 683828.0
141 3768 111.91 1056.05 22766.209 29.89253496490316 -48.07053496490316 -27.807761 -49.133856 12180 -18.178 6922696.0 683827.0
142 3769 154.51 1060.35 22766.2 33.49171725924538 -48.031717259245376 -27.806906 -49.133878 12180 -14.54 6922790.0 683826.0
143 3770 192.35 1060.65 22766.191000000003 38.30386132160184 -47.99086132160185 -27.806039000000002 -49.133894 12180 -9.687000000000001 6922887.0 683826.0
144 3771 229.56 1057.44 22766.182 42.92280954243927 -47.948809542439264 -27.805153000000004 -49.133903000000004 12180 -5.026 6922985.0 683827.0
145 3772 251.08 1052.43 22766.174 47.41171953129106 -47.904719531291065 -27.804242 -49.1339 12180 -0.493 6923086.0 683829.0
146 3773 265.94 1045.95 22766.166 49.45378712967583 -47.85978712967583 -27.803306 -49.133894 12180 1.594 6923189.0 683831.0
147 3774 269.74 1037.28 22766.158 50.081169947126995 -47.813169947126994 -27.802344 -49.133886 12180 2.2680000000000002 6923296.0 683833.0
148 3775 260.23 1030.26 22766.148999999998 50.42471037411113 -47.76571037411113 -27.801358 -49.133889 12180 2.659 6923405.0 683835.0
149 3776 252.21 1025.61 22766.139 49.62653650796597 -47.71853650796597 -27.80035 -49.133897 12180 1.9080000000000001 6923517.0 683835.0
150 3777 245.32 1024.34 22766.129 49.20216680030199 -47.67016680030199 -27.799328000000003 -49.133908 12180 1.5319999999999998 6923630.0 683836.0
151 3778 222.21 1024.76 22766.119 47.782150543689916 -47.62215054368992 -27.798303000000004 -49.133922 12180 0.16 6923744.0 683836.0
152 3779 176.85 1026.84 22766.109 45.66235964079236 -47.57335964079236 -27.797275 -49.133936 12180 -1.911 6923858.0 683837.0
153 3780 129.61 1033.07 22766.099 43.81576457941386 -47.52576457941386 -27.796256 -49.133956 12180 -3.71 6923971.0 683837.0
