Line,X,Y,Bx,By,Bz,Bm,Bm_res
5,14.0,-28.0210851458,180.382939881,25702.3,-43414.5885979,50452.6239795,17.2730161447
5,14.0,-28.098387406,182.079996156,25702.8,-43413.032963,50451.5461806,16.8914403997
5,14.0,-28.1839720512,184.272027177,25703.3,-43411.265196,50450.2877394,16.1813945042
5,14.0,-28.2750782864,184.484159212,25703.1,-43410.7702213,50449.7607053,17.1756669339
5,14.0,-28.3523805466,182.716392259,25703.6,-43409.9924038,50449.3397255,17.3657508586
5,14.0,-28.4352043968,181.302178696,25704.6,-43409.1438757,50449.1140027,17.2753875214
5,14.0,-28.495941887,173.948268172,25705.2,-43408.861033,50449.1504509,17.6380159398
5,14.0,-28.5787657372,169.210652738,25705.6,-43408.5074796,50449.0339373,16.5607413834
5,14.0,-28.6560679974,170.836998335,25705.7,-43408.5781903,50449.1512146,15.8634494386
5,14.0,-28.7416526426,169.776338163,25705.4,-43408.6489009,50449.0556162,15.9898416861
5,14.0,-28.8410412628,171.614815794,25705.0,-43409.2145864,50449.3447693,16.7639566775
5,14.0,-28.921104318,172.958318678,25704.6,-43409.5681398,50449.4497673,17.1335665411
5,14.0,-28.9956457832,172.958318678,25704.6,-43409.5681398,50449.4497673,17.6425467242
5,14.0,-29.0757088384,173.382582747,25704.8,-43408.861033,50448.944694,17.7278169677
5,14.0,-29.1447287135,170.766287657,25705.8,-43407.9417942,50448.6543485,18.2300052087
5,14.0,-29.2165093837,171.049130369,25705.7,-43407.6589514,50448.3609837,17.8169205858
5,14.0,-29.2855292589,173.806846816,25704.9,-43406.5982913,50447.0501422,16.1684892917
5,14.0,-29.349027544,179.887965134,25705.0,-43406.0326058,50446.6356783,15.1550788854
5,14.0,-29.4180474192,179.180858353,25704.9,-43405.8911845,50446.4605231,14.044454378
5,14.0,-29.5008712694,181.231468018,25704.6,-43405.3962097,50445.8890905,14.2908824219
5,14.0,-29.5754127346,182.787102937,25705.8,-43404.689103,50445.8977608,14.268285112
