LINE,X,Y,Bx,By,Bz,Bm,DIST_ABS,MAG_REGIONAL,MAG_MOD,mag_res
         10,18.000000,-44.895000,794.647000,26158.300000,-43411.972000,50690.112000,9.826000,50274.317376,50752.942085,415.794624
         10,18.000000,-44.949000,789.697000,26163.000000,-43417.912000,50697.547000,9.880000,50273.809369,50758.682764,423.737631
         10,18.000000,-44.984000,788.141000,26166.200000,-43422.155000,50702.808000,9.915000,50273.480177,50762.447199,429.327823
         10,18.000000,-45.029000,789.060000,26169.900000,-43426.044000,50708.062000,9.960000,50273.057015,50767.337993,435.004985
         10,18.000000,-45.065000,787.434000,26175.500000,-43431.488000,50715.590000,9.996000,50272.718553,50771.292049,442.871447
         10,18.000000,-45.109000,783.545000,26180.200000,-43437.075000,50722.739000,10.040000,50272.304959,50776.175135,450.434041
         10,18.000000,-45.163000,780.858000,26185.200000,-43442.307000,50729.759000,10.094000,50271.797491,50782.244260,457.961509
         10,18.000000,-45.213000,787.788000,26190.200000,-43445.418000,50735.112000,10.144000,50271.327733,50787.939334,463.784267
         10,18.000000,-45.270000,787.081000,26194.700000,-43448.954000,50740.451000,10.201000,50270.792352,50794.521031,469.658648
         10,18.000000,-45.335000,783.474000,26198.400000,-43454.540000,50747.089000,10.266000,50270.182015,50802.143612,476.906985
         10,18.000000,-45.389000,773.646000,26202.300000,-43460.268000,50753.856000,10.320000,50269.675115,50808.571957,484.180885
         10,18.000000,-45.460000,764.312000,26206.600000,-43465.500000,50760.415000,10.391000,50269.008843,50817.157459,491.406157
         10,18.000000,-45.516000,752.998000,26210.200000,-43469.884000,50765.859000,10.447000,50268.483498,50824.036919,497.375502
         10,18.000000,-45.573000,744.513000,26214.400000,-43476.107000,50773.231000,10.504000,50267.948922,50831.137638,505.282078
         10,18.000000,-45.641000,735.462000,26218.000000,-43482.047000,50780.043000,10.572000,50267.311381,50839.739525,512.731619
         10,18.000000,-45.689000,729.876000,26222.400000,-43485.653000,50785.323000,10.620000,50266.861481,50845.897754,518.461519
         10,18.000000,-45.763000,733.977000,26227.500000,-43490.037000,50791.769000,10.694000,50266.168097,50855.532634,525.600903
         10,18.000000,-45.811000,735.250000,26233.500000,-43497.532000,50801.303000,10.742000,50265.718471,50861.874266,535.584529
         10,18.000000,-45.882000,742.745000,26238.100000,-43503.896000,50809.237000,10.813000,50265.053595,50871.388159,544.183405
         10,18.000000,-45.989000,741.896000,26241.500000,-43507.997000,50814.492000,10.920000,50264.052044,50886.029167,550.439956
         10,18.000000,-46.087000,732.916000,26246.700000,-43513.018000,50821.345000,11.018000,50263.135204,50899.760888,558.209796
         10,18.000000,-46.176000,731.997000,26252.100000,-43520.018000,50830.115000,11.107000,50262.302951,50912.500290,567.812049
         10,18.000000,-46.248000,729.946000,26256.800000,-43525.746000,50837.416000,11.179000,50261.629938,50922.994448,575.786062
         10,18.000000,-46.298000,723.017000,26260.900000,-43531.968000,50844.763000,11.229000,50261.162710,50930.381379,583.600290
